result,Gold_Advantage_and_Towers,Vision_Control,Combat_Metrics,Grubs_and_Herald,Herald_Control,Herald_and_Grubs,Laning_Phase_and_Early_Baron_Control,Early_Macro_and_Objective_Priority,Elder_Drake_Control
1,4.779280480300095,3.614518746593457,-1.7797514113128625,-0.8919429315801402,0.43645731802165455,-2.0000286747005576,0.6985060737971887,-1.1742024550941503,-0.06527187631499114
0,-5.718777749610031,3.4446297792637606,-0.9300526016862378,0.7581034342580367,1.0347399525517351,1.1471892544560052,-1.301279905965241,0.9862481044405615,0.32846171914127736
1,0.12402661929010138,1.0351012845320102,3.3270574387167415,-0.8811919264302427,0.7497251685932466,1.5533517959095775,-0.4362766037791704,-2.02580440791906,0.29800248581513966
0,1.225379136040999,1.2869214852108206,2.2257790775571187,0.7721412513844149,-1.1541778427097424,-1.3721822595283482,0.2420370600151017,1.8933811643373462,0.5168175883211629
1,0.2358761108390858,-1.1655668576865785,-0.12142076487122579,-1.991822961256547,-1.385970525922168,-1.9976489008482612,-1.8515567259014285,-1.0582415569334944,0.545780576120979
0,-0.5692305294343607,-0.8629276959344865,-0.3459145306911457,2.127354249931045,2.65398661429396,0.9664586907796858,0.9528309184075971,1.2425423581382624,0.2556343578689371
1,3.6307262764238404,-0.9795411621463671,3.2021294585607536,-0.15943672111762142,0.5807715451943389,2.5849117113056495,1.7402931249019566,-1.211090044346047,1.717103474350312
0,-1.9898868131598466,-1.6002357733759578,3.672568857366196,0.3782820255493079,-3.066951253351694,-1.0692834791107786,-0.7677567528437286,1.502192413814165,0.5479383014039536
0,-4.762525077279979,2.9656769881535276,1.1793376310610948,0.012008850614516682,0.6250025312509181,0.6396151477083581,0.2305711310389418,3.4096891200253014,-0.43761240797611595
1,4.892986668886925,2.7165985013776406,1.3518489539192562,-0.44817049720772617,-1.3559307292960434,-0.393196059293168,-0.2294928238710877,-3.3586240646191876,-0.5976957730580609
0,0.08235645007018026,-1.1295004665105117,1.982000414457499,1.2839836727830867,-0.9677597091266233,-0.9927069125675433,-1.9776613030572794,-0.03572947706171943,1.1808330220384857
